,geo,year,siec,unit,BIOG_G_ADJSHR,BIOG_G_SHR,BIOG_G_TRA,FC_IND_OTH_E,GFC_HEAT_CL_E,GHP_RED,PPRD_RED
395,AT,2008,RA200,KTOE,,,,"6,075",,"12,806",
396,AT,2008,RA410,KTOE,,,,"113,06700000000001",,"0,0",
397,AT,2008,RA600,KTOE,,,,,,,"122,306"
398,AT,2008,TOTAL,KTOE,,,,,"13935,313999999998",,
399,AT,2008,W6210,KTOE,,,,"0,0",,"33,963",
400,AT,2009,R5110-5150_W6000RI,KTOE,,,,"2931,64",,"580,464",
401,AT,2009,R5160,KTOE,,,,"8,305",,,
402,AT,2009,R5292,KTOE,,,,"38,413000000000004",,,
403,AT,2009,R5292P,KTOE,,,,,,"6,434",
404,AT,2009,R5292S,KTOE,,,,,,,
405,AT,2009,R5292SB,KTOE,,,,,,,
406,AT,2009,R5292SP,KTOE,,,,,,,
407,AT,2009,R5293S,KTOE,,,,,,,
408,AT,2009,R5293SB,KTOE,,,,,,,
409,AT,2009,R5293SP,KTOE,,,,,,,
410,AT,2009,R5300,KTOE,,,,"17,63",,"6,867999999999999",
411,AT,2009,R5300B,KTOE,,,,"0,0",,"0,0",
412,AT,2009,R5300B,PC,"0,0","0,0",,,,,
413,AT,2009,R5300B,TJ_GCV,,,"0,0",,,,
414,AT,2009,RA000,KTOE,,,,,"3913,3340000000003",,
415,AT,2009,RA200,KTOE,,,,"6,704",,"12,774000000000001",
416,AT,2009,RA410,KTOE,,,,"121,508",,"1,3419999999999999",
417,AT,2009,RA600,KTOE,,,,,,,"138,615"
418,AT,2009,TOTAL,KTOE,,,,,"13227,741000000002",,
419,AT,2009,W6210,KTOE,,,,"0,0",,"42,63399999999999",
420,AT,2010,R5110-5150_W6000RI,KTOE,,,,"3229,3459999999995",,"722,77",
421,AT,2010,R5160,KTOE,,,,"8,863",,,
422,AT,2010,R5292,KTOE,,,,"36,589",,,
423,AT,2010,R5292P,KTOE,,,,,,"4,073",
424,AT,2010,R5292S,KTOE,,,,,,,
425,AT,2010,R5292SB,KTOE,,,,,,,
426,AT,2010,R5292SP,KTOE,,,,,,,
427,AT,2010,R5293S,KTOE,,,,,,,
428,AT,2010,R5293SB,KTOE,,,,,,,
429,AT,2010,R5293SP,KTOE,,,,,,,
430,AT,2010,R5300,KTOE,,,,"21,796",,"7,343999999999999",
431,AT,2010,R5300B,KTOE,,,,"0,0",,"0,0",
432,AT,2010,R5300B,PC,"0,0","0,0",,,,,
433,AT,2010,R5300B,TJ_GCV,,,"0,0",,,,
434,AT,2010,RA000,KTOE,,,,,"4419,299",,
435,AT,2010,RA200,KTOE,,,,"7,659",,"12,839",
436,AT,2010,RA410,KTOE,,,,"162,286",,"1,369",
437,AT,2010,RA600,KTOE,,,,,,,"155,783"
438,AT,2010,TOTAL,KTOE,,,,,"14281,389",,
439,AT,2010,W6210,KTOE,,,,"0,0",,"48,582",
440,AT,2011,R5110-5150_W6000RI,KTOE,,,,"3078,953",,"763,56",
