siec,nrg_bal,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
R5160,FC_IND_OTH_E,KTOE,EU28	404.887 	376.143 	362.420 	382.373 	374.176 	380.505 	400.756 	350.902 	345.894 	348.379 	286.512 	279.712 	224.912 	217.176 	210.672 
R5160,FC_IND_OTH_E,KTOE,FI	0.014 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,FR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,HR	8.483 	7.192 	5.350 	4.677 	4.009 	3.320 	2.000 	3.991 	4.414 	5.150 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,HU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,IE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,IS	0.463 	1.695 	0.707 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,IT	52.607 	47.081 	51.495 	49.288 	51.495 	48.553 	50.760 	57.380 	57.380 	63.266 	58.852 	61.059 	63.266 	53.702 	58.852 
R5160,FC_IND_OTH_E,KTOE,LT	1.913 	1.692 	1.471 	1.471 	0.736 	0.736 	0.736 	1.471 	1.471 	0.736 	1.471 	0.651 	0.651 	0.651 	0.000 
R5160,FC_IND_OTH_E,KTOE,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,LV	1.636 	1.564 	1.433 	1.433 	2.150 	2.150 	1.433 	1.433 	1.433 	1.433 	1.433 	0.717 	0.717 	1.433 	0.717 
R5160,FC_IND_OTH_E,KTOE,ME	0.736 	0.736 	0.736 	0.736 	0.736 	0.736 	0.736 	0.736 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,MK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,NL	6.449 	6.449 	6.449 	6.449 	6.449 	6.449 	6.449 	6.449 	6.449 	6.449 	6.449 	6.449 	6.449 	6.449 	6.449 
R5160,FC_IND_OTH_E,KTOE,NO	22.331 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,PL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,PT	32.089 	26.976 	25.365 	30.298 	30.298 	30.298 	44.390 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
